	B cells naive	CAFs	T cells CD4 naive 	CD8_T cells	Endothelial	Macrophages M0	NK cells activated
CACTIN	3.28920372924146	1.66002285569163	2.97006980932087	1.64621736790666	12.1782828839078	2.36207378603917	0
CACTIN-AS1	0	0	0	0	0	0	0
CACUL1	38.3102708464172	21.4261051196863	23.4561654087346	35.1734957145377	76.445870035136	48.4041940561469	48.3042472468671
CACYBP	43.7388919257808	19.6525434899677	86.8150627040539	112.006779829074	3.08372771299302	57.8857670282304	31.3617382587018
CAD	6.98829988368348	39.6546348228367	6.92274099739923	13.2708683671054	26.8521697013984	4.67414157465685	1.36164790059791
CADM1	1.10825433590401	4.28632743479566	24.8228688760324	92.9132215962833	0	25.1443247095173	15.2287027053176
CADM2	1.96340341425892	0	0.291106863024688	0.878309781559593	0	0.0981704343259629	0.0641934041169399
CADM2-AS2	3.73425794278687	5.53375927870822	4.54836584508936	3.77110861051944	0	1.77718500445964	1.37068838263121
CADM3	0	32.7833123369966	0.0249093487163316	0.536723970658941	18.6186007967833	0.253888575414862	0
CADM4	0	0	0	0.178684747402558	0	0.197310862225977	0
CADPS	2.00550692246792	1.09876122154533	0.0335761725647247	0.0548889908058504	0	0.0250000120947791	0
CADPS2	1.94493023330587	4.57754292980166	0	0.373925282840483	5.56723891451098	0.0152442110357084	0.0187098531135945
CAGE1	0.278854157325997	0.174997974833057	0.528590887299027	0.674411204610839	0	0.431204951457903	1.18264776828028
CAHM	0	0	0	0.364169375812378	2.33722469531263	2.32142765116509	0
CALB1	0	0	0	0.0148221724024082	0	0	0
CALB2	0	40.6383167122285	0	0.00353294503846102	0	0	0
CALCA	0	0	0	0.891645259444616	0	0	0
CALCB	0	0	0	1.73975764304995	0	0	0
CALCOCO1	32.457472941803	61.9093787656566	54.6700280270815	68.0278180252991	105.550075960532	28.5448987470714	70.9808400673119
CALCOCO2	28.8343758313313	30.854204966818	86.438816838225	94.9013317808951	69.7694281834504	61.0610481344118	122.844030710822
CALCR	0.0788685828855444	0	0.0272124316191202	0.591200906243119	0	0.0121945588852298	0
CALCRL	0.29692419154637	2.75619036567691	0.0108990258783504	0.067311909466867	145.214092068907	0	0
CALD1	3.39331163088613	333.5462066424	2.52610544976988	5.569001171667	110.789154693479	5.02611599041437	0.110324403835308
CALHM1	3.16905109626295	0.071248724363298	0.569205980252282	0.919568277575992	1.90642777420563	0.390239759610631	4.30674913743659
CALHM2	36.2503114191513	126.025824316955	74.5118155013312	46.6098556769341	47.3951295323162	35.691054402993	106.010235766346
CALHM3	0	0	0	0.196011019338532	0	0	0
CALM1	180.979991715819	209.498966214968	469.274784283792	350.211051973463	312.681430923543	261.648099547468	782.366041100738
CALM2	540.552025740891	946.257036067752	669.803483778615	887.822060826585	915.041495825549	1087.58510843917	923.859453822244
CALM3	60.2183042350025	64.7479209015614	90.0541744514744	76.2702524775666	10.7748126552391	92.032813075413	41.2736245508835
CALML3	0	0	0	0	0	0	0
CALML4	5.52633764102216	1.21748747371322	0.524481664053827	1.48531242248853	1.30181407303373	4.19859428176952	0
CALML5	0	0	0	0.6429211574898	0	0	0
CALML6	0	0	0	0	0	0	0
CALN1	0.892856421337564	0.478762523605573	1.39403878346905	1.63331705194191	1.75457107466596	0.663896706581701	0.910344266175008
CALR	319.766662443394	768.572289713955	402.880088066995	386.992133748915	484.465107805627	605.607075898327	405.970410486216
CALR3	0	0	0	0.164486041853885	0	0	0
CALU	34.721465593122	290.136057993895	34.2025996953949	34.1816239721871	60.3257392653254	30.8806358796389	12.0861687838855
CALY	0	0	0	0.0088730850864018	0	0	0
CAMK1	17.0393472710564	5.2660929569384	2.22614922205483	15.7953580135944	1.29640337035236	22.4475567780408	11.2949614566149
CAMK1D	53.6374187483701	7.53376549574727	30.0970389843861	32.1011017056238	18.9184036915221	18.4100561223411	36.3668835356051
CAMK1G	0	0	0	0.0167673852414951	0	0	0
CAMK2A	0	0	0.0361817300859762	0.0500255917797549	0	0.587772399792223	0
CAMK2B	0.309333067733989	0	0	0.210777357377286	0	0.780468350996993	0
CAMK2D	70.3703973201666	36.3851129352652	44.8670681082595	33.0751021836021	46.5650879719255	34.8849961110003	30.2248544743811
CAMK2G	45.3415419307196	8.96864336906155	43.2962693062225	32.2222546233756	83.2712449929903	16.1574332987988	38.6809462479621
CAMK2N1	0	2.54753677503995	2.60505429775021	0.747850178475908	0	0.038901280262192	0
CAMK2N2	0	0	0	0	0	0.0840218830287932	0
CAMK4	0.765471721576389	0	97.8452008274593	42.7847403573041	0	0	0.0867751809650829
CAMKK1	26.680388813274	0	1.94016268136425	0.28302277215179	18.131945212519	9.7623233141928	0
CAMKK2	4.25819271429112	13.7897304634102	16.882849169104	12.0915021045632	17.8944538706235	29.9673275824274	30.9002271547693
